user_id,user_id,user_id,user_id,converted,converted,converted,converted,english_conv_rate,expected_spanish_rate,expected_arabic_rate,expected_german_rate,expected_spanish_conv,expected_arabic_conv,expected_german_conv
,['a100000330' 'a100000351' 'a100000372' 'a100000393' 'a100000412'],,,,5.0,,,,,,,,,
,"['a100000331' 'a100000352' 'a100000373' 'a100000394' 'a100000413'
 'a100000512']",,,,6.0,,,,,,,,,
,['a100000332' 'a100000395' 'a100000414' 'a100000513'],['a100000353' 'a100000374'],,,4.0,2.0,,,,,,,,
,['a100000333' 'a100000354' 'a100000415' 'a100000514'],,['a100000375' 'a100000396'],,4.0,,2.0,,,,,,,
['a100000355'],['a100000334' 'a100000397' 'a100000416' 'a100000515'],,['a100000376'],1.0,4.0,,1.0,,,,,,,
,['a100000377' 'a100000398' 'a100000417' 'a100000523'],,['a100000335' 'a100000356'],,4.0,,2.0,,,,,,,
['a100000399' 'a100000418'],['a100000336' 'a100000357' 'a100000378'],,,2.0,3.0,,,,,,,,,
,"['a100000062' 'a100000063' 'a100000064' 'a100000065' 'a100000066'
 'a100000067' 'a100000068' 'a100000069' 'a100000071' 'a100000073'
 'a100000075' 'a100000076' 'a100000077' 'a100000078' 'a100000079']",['a100000072'],['a100000070'],,15.0,1.0,1.0,,,,,,,
,['a100000337' 'a100000358' 'a100000400' 'a100000419'],,['a100000379' 'a100000524'],,4.0,,2.0,,,,,,,
['a100000401'],['a100000338' 'a100000359' 'a100000380' 'a100000525'],,['a100000420'],1.0,4.0,,1.0,,,,,,,
,"['a100000080' 'a100000081' 'a100000082' 'a100000083' 'a100000086'
 'a100000087' 'a100000089' 'a100000090' 'a100000091' 'a100000092'
 'a100000093' 'a100000094' 'a100000099' 'a100000100' 'a100000101'
 'a100000102' 'a100000104' 'a100000105' 'a100000107' 'a100000108'
 'a100000111' 'a100000112']",,"['a100000085' 'a100000088' 'a100000095' 'a100000103' 'a100000109'
 'a100000110']",,12.0,,3.0,,,,,,,
,"['a100000096' 'a100000097' 'a100000098' 'a100000099' 'a100000100'
 'a100000101' 'a100000102' 'a100000104' 'a100000105' 'a100000107'
 'a100000108' 'a100000111' 'a100000112' 'a100000113' 'a100000114'
 'a100000127' 'a100000128']",,['a100000103' 'a100000109' 'a100000110'],,17.0,,3.0,,,,,,,
['a100000151' 'a100000153' 'a100000163'],"['a100000129' 'a100000131' 'a100000132' 'a100000133' 'a100000134'
 'a100000150' 'a100000154' 'a100000155' 'a100000156' 'a100000157'
 'a100000162' 'a100000164']",,['a100000130' 'a100000152'],3.0,12.0,,2.0,,,,,,,
['a100000165' 'a100000253'],"['a100000166' 'a100000167' 'a100000168' 'a100000169' 'a100000170'
 'a100000171' 'a100000250' 'a100000251' 'a100000254' 'a100000255'
 'a100000256' 'a100000257' 'a100000258' 'a100000259']",['a100000172' 'a100000252'],['a100000260'],2.0,14.0,2.0,1.0,,,,,,,
,"['a100000261' 'a100000262' 'a100000263' 'a100000266' 'a100000267'
 'a100000268' 'a100000269' 'a100000270' 'a100000271' 'a100000272'
 'a100000274']",['a100000264' 'a100000265' 'a100000273'],['a100000275' 'a100000276'],,11.0,3.0,2.0,,,,,,,
,"['a100000278' 'a100000279' 'a100000280' 'a100000281' 'a100000282'
 'a100000283' 'a100000284' 'a100000285' 'a100000286' 'a100000287'
 'a100000288' 'a100000289' 'a100000290' 'a100000291' 'a100000292'
 'a100000293' 'a100000294' 'a100000295' 'a100000296']",,['a100000277'],,19.0,,1.0,,,,,,,
